name,mass,year,reclat,reclong
Okniny,12000,1834,50.83333,25.5
Charlotte,4300,1835,36.16667,-87.33333
Aldsworth,700,1835,51.78333,-1.78333
Gibeon,26000000,1836,-25.5,18
Wichita County,145000,1836,34.06667,-98.91667
Macau,1500,1836,-5.2,-36.66667
Mascombes,1000,1836,45.36667,1.86667
Aubres,800,1836,44.38333,5.16667
Coahuila,2100000,1837,28.7,-102.73333
Cosby's Creek,960000,1837,35.78333,-83.25
Yonozu,31650,1837,37.75,139
Gross-Divina,10500,1837,49.26667,18.71667
Esnandes,1500,1837,46.25,-1.1
Chandakapur,8800,1838,20.26667,76.01667
Cold Bokkeveld,5200,1838,-33.13333,19.38333
Akbarpur,1800,1838,29.71667,77.95
Simbirsk (of P. Partsch),1500,1838,54.3,48.4
Slobodka (of P. Partsch),950,1838,55,35
Montlivault,500,1838,47.63333,1.58333
Kaee,230,1838,27.25,79.96667
Putnam County,32700,1839,33.25,-83.25
Smithland,5000,1839,37.13333,-88.4
Asheville,800,1839,35.58333,-82.53333
Black Mountain,800,1839,35.58333,-82.35
Little Piney,491,1839,37.91667,-92.08333
Magura,150000,1840,49.33333,19.48333
Carthage,127000,1840,36.26667,-85.98333
Smithville,70500,1840,35.98333,-85.85
Cereseto,6460,1840,45.08333,8.3
Karakol,3000,1840,47.21667,81.01667
Uden,710,1840,51.65,5.61667
Abo,1.2,1840,60.43333,22.3
Château-Renard,30000,1841,47.93333,2.91667
Petropavlovsk,7000,1841,53.35,87.18333
St. Christophe-la-Chartreuse,5500,1841,46.95,-1.5
Grüneberg,1000,1841,51.93333,15.5
Milena,10000,1842,46.18333,16.1
Babb's Mill (Troost's Iron),6400,1842,36.3,-82.88333
Barea,3200,1842,42.38333,-2.5
Aumieres,2000,1842,44.33333,3.23333
Myhee Caunta,0,1842,23.05,72.63333
Utrecht,9700,1843,52.11667,5.18333
Verkhne Tschirskaia,8000,1843,48.41667,43.2
Bishopville,6000,1843,34.16667,-80.28333
Klein-Wenden,3250,1843,51.6,10.8
Berdyansk,2250,1843,46.75,36.81667
Manegaon,50,1843,20.96667,76.1
Picote,0,1843,41.36667,-6.23333
Ruff's Mountain,53070,1844,34.3,-81.4
Favars,1500,1844,44.38333,2.81667
Cosina,1200,1844,21.16667,-100.86667
Killeter,140,1844,54.66667,-7.66667
Barratta,200000,1845,-35.3,144.56667
Le Pressoir,3000,1845,47.16667,0.43333
Le Teilleul,780,1845,48.53333,-0.86667
Netschaëvo,250000,1846,54.23333,35.15
Deep Springs,11500,1846,36.5,-79.75
Schönenberg,8000,1846,48.11667,10.46667
Monte Milone,3130,1846,43.26667,13.35
Assam,2700,1846,26,92
Cape Girardeau,2300,1846,37.26667,-89.58333
Jackson County,450,1846,36.41667,-85.5
Seeläsgen,102000,1847,52.26667,15.55
Braunau,39000,1847,50.6,16.3
Marion (Iowa),28400,1847,41.9,-91.6
Singhur,14180,1847,18.31667,73.91667
Murfreesboro,8600,1847,35.83333,-86.41667
Marmande,3000,1848,44.5,0.15
Dharwar,1800,1848,14.88333,75.6
Ski,850,1848,59.73333,10.86667
Castine,94,1848,44.38333,-68.75
Chesterville,16500,1849,34.7,-81.2
Monroe,8600,1849,35.25,-80.5
Fukue,7.3,1849,32.7,128.85
Tucson,975000,1850,31.85,-110.96667
Kesen,135000,1850,38.98333,141.61667
Schwetz,21500,1850,53.4,18.45
Shalka,4000,1850,23.1,87.3
Seneca Falls,4000,1850,42.91667,-76.78333
Salt River,3600,1850,37.95,-85.78333
Pittsburg,600,1850,40.43333,-80
Botetourt County,500,1850,37.5,-79.75
Nulles,5000,1851,41.63333,0.75
Gütersloh,1000,1851,51.91667,8.38333
Quincay,65,1851,46.6,0.25
Chupaderos,24300000,1852,27,-105.1
Rodeo,44000,1852,25.33333,-104.66667
Mezö-Madaras,22700,1852,46.5,25.73333
Yatoor,13600,1852,14.3,79.76667
Borkut,7000,1852,48.15,24.28333
Mainz,1700,1852,50,8.26667
Bustee,1500,1852,26.78333,82.83333
Cranberry Plains,90,1852,37.23333,-80.73333
Tazewell,27000,1853,36.43333,-83.75
Girgenti,18000,1853,37.31667,13.56667
Segowlie,6930,1853,26.75,84.78333
Union County,6800,1853,34.75,-84
Duruma,577,1853,-4,39.5
Cranbourne,8600000,1854,-38.1,145.3
Madoc,168000,1854,44.5,-77.46667
Duel Hill (1854),21800,1854,35.85,-82.7
Verkhne Udinsk,18000,1854,54.76667,113.98333
Sarepta,14000,1854,48.48333,44.81667
Linum,1862,1854,52.75,12.9
Emmitsburg,450,1854,39.71667,-77.3
Oktibbeha County,156,1854,33.5,-89
Tabarz,150,1854,50.88333,10.51667
Orange River (iron),148800,1855,-30,25
Narraburra,32200,1855,-34.25,147.7
Barranca Blanca,12000,1855,-28.08333,-69.33333
Bremervörde,7250,1855,53.4,9.1
Oesel,6000,1855,58.5,23
Petersburg,1800,1855,35.3,-86.63333
Sabetmahet,1250,1855,27.43333,82.08333
St. Denis Westrem,700,1855,51.05,3.75
Avilez,146,1855,25,-103.5
Nelson County,73030,1856,37.75,-85.5
Hainholz,16500,1856,52.28333,8.91667
Fort Pierre,15900,1856,44.35,-100.38333
Trenzano,11800,1856,45.46667,10
Denton County,5400,1856,33,-97
Oviedo,205,1856,43.4,-5.86667
Mincy,89400,1857,36.55,-93.1
Parnallee,77600,1857,9.23333,78.35
Ohaba,16250,1857,46.06667,23.58333
Locust Grove,10000,1857,33.33333,-84.1
Quenggouk,6045,1857,17.76667,95.18333
Kaba,3000,1857,47.35,21.3
Laurens County,2150,1857,34.5,-82.03333
Stavropol,1500,1857,45.05,41.98333
Heredia,1000,1857,10,-84.1
Les Ormes,125,1857,48.35,3.25
Trenton,505000,1858,43.36667,-88.13333
Molina,144000,1858,38.11667,-1.16667
Augusta County,76000,1858,38.16667,-79.08333
Ausson,50000,1858,43.08333,0.58333
Wooster,22700,1858,40.76667,-81.95
Joel's Iron,1300,1858,-24,-69
Kakowa,577,1858,45.13333,21.66667
Zmenj,246,1858,51.83333,26.83333
Tombigbee River,43000,1859,32.23333,-88.2
Pampanga,10500,1859,15.08333,120.7
Beuste,2000,1859,43.21667,-0.23333
Harrison County,680,1859,38.25,-86.16667
Bethlehem,13.9,1859,42.53333,-73.83333
New Concord,230000,1860,40,-81.76667
Cleveland,115000,1860,34.88333,-84.78333
La Grange,50800,1860,38.4,-85.36667
Dhurmsala,32000,1860,32.23333,76.46667
Coopertown,16800,1860,36.43333,-87
Marshall County,6800,1860,37,-88.25
Victoria West,2950,1860,-31.7,23.75
Alessandria,908,1860,44.88333,8.75
Kheragur,450,1860,26.95,77.88333
Sologne,54,1860,47.36667,1.73333
Kusiali,5,1860,29.68333,78.38333
Vaca Muerta,3828000,1861,-25.75,-70.5
Lutschaunig's Stone,100000,1861,-27,-70
Butsura,29000,1861,27.08333,84.08333
Grosnaja,3500,1861,43.66667,45.38333
Cañellas,945,1861,41.25,1.66667
Meerut,22,1861,29.01667,77.8
Menow,10500,1862,53.18333,13.15
Kokomo,1800,1862,40.48333,-86.36667
Sevilla,180,1862,37.41667,-6
Bacubirito,22000000,1863,26.2,-107.83333
Wabar,2550000,1863,21.49972,50.47222
Obernkirchen,41000,1863,52.26667,9.1
Pillistfer,23250,1863,58.66667,25.73333
Copiapo,20000,1863,-27.3,-70.4
Tourinnes-la-Grosse,14500,1863,50.78333,4.76667
Russel Gulch,13200,1863,39.8,-105.5
Wairarapa Valley,6000,1863,-41.31667,175.13333
Smith's Mountain,5000,1863,36.41667,-80
Buschhof,5000,1863,46.45,25.78333
St. Francois County,3600,1863,37.75,-90.5
Shytal,3200,1863,24.33333,90.16667
Manbhoom,1700,1863,23.05,86.7
Tomhannock Creek,1500,1863,42.88333,-73.6
Pulsora,560,1863,23.36667,75.18333
Tamentit,510000,1864,27.71667,-0.25
Orgueil,14000,1864,43.88333,1.38333
Nerft,10250,1864,56.5,21.5
Dolgovoli,1600,1864,50.75,25.3
Aumale,50000,1865,36.16667,3.66667
Supuhee,7235,1865,26.71667,84.21667
Shergotty,5000,1865,24.55,84.83333
Muddoor,4400,1865,12.63333,77.01667
Dundrum,2270,1865,52.55,-8.03333
Gopalpur,1600,1865,24.23333,89.05
Vernon County,1500,1865,43.5,-91.16667
Dellys,76,1865,36.91667,3.91667
Knyahinya,500000,1866,48.9,22.4
Bear Creek,227000,1866,39.6,-105.3
Juncal,104000,1866,-26,-69.25
Cangas de Onis,34000,1866,43.38333,-5.15
Sone,17100,1866,35.16667,135.33333
Frankfort (iron),10900,1866,38.2,-84.83333
St. Mesmin,8300,1866,48.45,3.93333
Udipi,3600,1866,13.48333,74.78333
Pokhra,350,1866,26.71667,82.66667
Dehesa,280,1866,-33.5,-70.5
Rushville,50,1866,39.61667,-85.45
Jamkheir,22,1866,18.75,75.33333
Casas Grandes,1545000,1867,30.4,-107.8
Cacaria,41400,1867,24.5,-104.8
Scottsville,10000,1867,36.76667,-86.16667
Tadjera,9000,1867,36.18333,5.41667
Otomi,6510,1867,38.4,140.35
Auburn,3630,1867,32.63333,-85.5
Khetri,100,1867,28.01667,75.81667
Ballarat,15,1867,-37.57083,143.82533
Pultusk,250000,1868,52.76667,21.26667
Mount Vernon,159000,1868,36.93333,-87.4
Motta di Conti,9150,1868,45.2,8.5
San Francisco del Mezquital,7500,1868,23.48333,-104.36667
Ornans,6000,1868,47.11667,6.15
Pevensey,4300,1868,-34.78333,144.66667
Sauguis,4000,1868,43.15,-0.85
Losttown,3000,1868,34.25,-84.5
Goalpara,2700,1868,26.16667,90.6
Danville,2000,1868,34.4,-87.06667
Slavetic,1708,1868,45.68333,15.6
Moti-ka-nagla,1500,1868,26.83333,77.33333
Daniel's Kuil,1064,1868,-28.2,24.56667
Lodran,1000,1868,29.53333,71.8
Frankfort (stone),650,1868,34.48333,-87.83333
Pnompehn,96,1868,11.58333,104.91667
Iron Creek,175000,1869,53,-112
Caperr,113900,1869,-45.28333,-70.48333
Kernouve,80000,1869,48.11667,-3.08333
Staunton,43500,1869,38.21667,-79.05
Shingle Springs,39000,1869,38.66667,-120.93333
Tjabe,20000,1869,-7.08333,111.53333
Hessle,20000,1869,59.85,17.66667
Krähenberg,16500,1869,49.32694,7.46472
Angra dos Reis (stone),1500,1869,-22.96667,-44.31667
Salt Lake City,875,1869,40.91667,-111.66667
Lumpkin,340,1869,32.03333,-84.76667
Yorktown (New York),250,1869,41.28333,-73.81667
McKinney,150000,1870,33.18333,-96.71667
Ilimaes (iron),51700,1870,-26,-70
Cabezo de Mayo,25000,1870,37.98333,-1.16667
Nedagolla,4500,1870,18.68333,83.48333
Ibbenbüren,2000,1870,52.28333,7.7
Cincinnati,1500,1870,39.11667,-84.5
Iquique,12500,1871,-20.18333,-69.73333
Bandong,11500,1871,-6.91667,107.6
Searsmont,5400,1871,44.36667,-69.2
Laborel,3833,1871,44.28333,5.58333
Cuba,1500,1871,22,-80
Roda,400,1871,42.3,0.55
Oczeretna,130,1871,49.31667,31.51667
Santa Apolonia,1316000,1872,19.21667,-98.3
Lancé,51700,1872,47.7,1.06667
Tennasilm,28500,1872,58.03333,26.95
Nenntmannsdorf,12500,1872,50.96667,13.95
Orvinio,3400,1872,42.13333,12.93333
Dyalpur,300,1872,26.25,82
Ssyromolotovo,217000,1873,58.61667,98.93333
Waconda,50000,1873,39.33333,-98.16667
Chulafinnee,16220,1873,33.5,-85.66667
Khairpur,13600,1873,29.53333,72.3
Duel Hill (1873),11300,1873,35.85,-82.7
Jhung,5900,1873,31.3,72.38333
Virba,3600,1873,43.53333,22.63333
Aleppo,3200,1873,36.23333,37.13333
Santa Barbara,400,1873,-29.2,-51.86667
Sevrukovo,101000,1874,50.61667,36.6
Butler,41000,1874,38.3,-94.36667
Coolac,19280,1874,-34.96667,148.125
Castalia,7300,1874,36.08333,-78.06667
Kerilis,5000,1874,48.4,-3.3
Cachiyuyal,2500,1874,-25,-69.5
Santa Catharina,7000000,1875,-26.21667,-48.6
North Chile,300000,1875,-23,-69
Homestead,230000,1875,41.8,-91.86667
Mejillones,14830,1875,-23.1,-70.5
Canyon City,8600,1875,40.9,-123.1
Yardea,3290,1875,-32.45,135.55
Sitathali,1600,1875,20.91667,82.58333
Serrania de Varas,1500,1875,-24.55,-69.06667
Mornans,1300,1875,44.6,5.13333
Zsadany,552,1875,46.93333,21.5
Feid Chair,380,1875,36.88333,8.45
Alexander County,192,1875,35.75,-81.25
Nagaria,20,1875,26.98333,78.21667
Babb's Mill (Blake's Iron),136000,1876,36.3,-82.88333
Ställdalen,34000,1876,59.93333,14.95
Mantos Blancos,10300,1876,-23.45,-70.11667
Rowton,3500,1876,52.76667,-2.51667
Vavilovka,1932,1876,46.15,32.83333
Judesegeri,680,1876,12.85,76.8
Rochester,340,1876,41.08333,-86.28333
Verkhne Dnieprovsk,70,1876,48.63333,34.36667
Nochtuisk,8,1876,59.98333,117.58333
Soko-Banja,80000,1877,43.66667,21.86667
Cynthiana,6000,1877,38.4,-84.25
Cronstad,3650,1877,-27.7,27.3
Warrenton,1600,1877,38.68333,-91.15
Casey County,723,1877,37.25,-85
Hungen,112,1877,50.3,8.91667
Jodzie,30,1877,55.7,24.4
Bhagur,18,1877,20.88333,74.83333
Mühlau,5,1877,47.28333,11.41667
Bluff (a),153300,1878,29.87861,-96.87222
Tieschitz,28000,1878,49.6,17.11667
Rakovka,9000,1878,52.98333,37.03333
Dandapur,5650,1878,26.91667,83.96667
Mern,4000,1878,55.05,12.06667
Haraiya,1000,1878,26.8,82.53333
York (iron),835,1878,40.75,-97.5
La Charca,399,1878,20.66667,-101.28333
Lujan,50,1878,-34.66667,-59.36667
Estherville,320000,1879,43.41667,-94.83333
Tenham,160000,1879,-25.73333,142.95
Dalton,53000,1879,34.8,-84.98333
Densmore (1879),37200,1879,39.65,-99.68333
Kalumbi,4500,1879,17.83333,73.98333
Nogoya,4000,1879,-32.36667,-59.83333
La Bécasse,2800,1879,47.08333,1.75
Makarewa,2300,1879,-46.31667,168.4
Itapicuru-Mirim,2024,1879,-3.4,-44.33333
Gnadenfrei,1750,1879,50.66667,16.76667
Lick Creek,1240,1879,35.66667,-80.25
Tomatlan,900,1879,20.16667,-105.21667
Niagara,115,1879,48,-97.93333
Campo de Pucara (iron),41,1879,-27.66667,-67.11667
Ivanpah,58000,1880,35.33333,-115.31667
Veramin,54000,1880,35.33333,51.63333
Eagle Station,36000,1880,38.61667,-84.96667
Bingera,10841,1880,-29.88333,150.56667
Greenbrier County,5000,1880,37.83333,-80.31667
Lexington County,4760,1880,34,-81.25
Muizenberg,4610,1880,-34.1,18.46667
Andhara,2700,1880,26.58333,85.56667
Colfax,2300,1880,35.3,-81.73333
Wittekrantz,2200,1880,-32.5,23
Ratyn,910,1880,52.2,17.98333
Takenouchi,720,1880,35.38333,134.9
Chetrinahatti,72,1880,14.5,76.5
Aachen,21,1880,50.775,6.08333
Jiapigou,0,1880,42.83333,127.5
Admire,180000,1881,38.7,-96.1
Thunda,62100,1881,-25.7,143.05
Winburg,50000,1881,-28.5,27
Chilkoot,43000,1881,59.33333,-136
Costilla Peak,35500,1881,36.83333,-105.23333
Grossliebenthal,8000,1881,46.35,30.58333
Pacula,3400,1881,21.05,-99.3
Middlesbrough,1600,1881,54.56667,-1.16667
Piquetberg,37,1881,-32.86667,18.71667
Brenham,4300000,1882,37.5825,-99.16361
Mocs,300000,1882,46.8,24.03333
Hex River Mountains,60000,1882,-33.31667,19.61667
Rancho de la Pila (1882),46500,1882,24.11667,-104.3
Fukutomi,11620,1882,33.18333,130.2
San Cristobal,5000,1882,-23.43333,-69.5
Pavlovka,2000,1882,52.03333,43
Pirgunje,842,1882,25.8,88.45
Linville,442,1882,35.86667,-81.91667
Estacado,290000,1883,33.9,-101.75
Alfianello,228000,1883,45.26667,10.15
São Julião de Moreira,162000,1883,41.76611,-8.58361
Grand Rapids,51700,1883,42.96667,-85.76667
Jenny's Creek,12000,1883,37.9,-82.38333
Ngawi,1393,1883,-7.45,111.41667
Enon,763,1883,39.86667,-83.95
St. Caprais-de-Quinsac,360,1883,44.75,0.05
Silverton (New South Wales),350.7,1883,-31.88333,141.2
Adalia,1,1883,36.9,30.68333
Youndegin,3800000,1884,-32.1,117.71667
Kokstad,341000,1884,-30.55,29.41667
Djati-Pengilon,166000,1884,-7.5,111.5
Glorieta Mountain,148000,1884,35.6,-105.8
Merceditas,42900,1884,-26.33333,-70.28333
Joe Wright Mountain,42600,1884,35.76667,-91.5
Hammond,24000,1884,44.91667,-92.43333
Tysnes Island,19860,1884,60,5.61667
Corrizatillo,1328,1884,-26.03333,-70.33333
Chañaral,1207,1884,-26.5,-70.25
Pirthalla,1161,1884,29.58333,76
Tanokami Mountain,174000,1885,34.91667,135.96667
Lucky Hill,20500,1885,17.9,-77.63333
Puquios,6580,1885,-27.15,-69.91667
Pavlodar (pallasite),4500,1885,51.16667,77.33333
Mazapil,4000,1885,24.68333,-101.68333
Jamestown,4000,1885,46.61667,-98.5
Chandpur,1100,1885,27.28333,79.05
Kulnine,55300,1886,-34.15,141.78333
Cabin Creek,48500,1886,35.5,-93.5
Kyushu,45000,1886,32.03333,130.63333
Rafrüti,18200,1886,47,7.83333
Tonganoxie,11800,1886,39.08333,-95.11667
Nammianthal,4500,1886,12.28333,79.2
Assisi,2000,1886,43.03333,12.55
Novo-Urei,1900,1886,54.81667,46
Bradford Woods,762,1886,40.5,-80.08333
Barntrup,17,1886,52,9.1
Ochansk,500000,1887,57.78333,55.26667
Mount Joy,384000,1887,39.78333,-77.21667
Carlton,81200,1887,31.91667,-98.03333
Crab Orchard,48500,1887,35.83333,-84.91667
San Emigdio,36000,1887,36,-119
Kendall County,21000,1887,29.4,-98.5
Pan de Azucar,19500,1887,-26.5,-69.5
Morristown,16300,1887,36.2,-83.38333
Indio Rico,15000,1887,-38.33333,-60.88333
Indian Valley,14100,1887,36.93333,-80.5
Pipe Creek,13600,1887,29.68333,-98.91667
Waldron Ridge,13600,1887,36.63333,-83.83333
Holland's Store,12200,1887,34.36667,-85.43333
Silver Crown,11600,1887,41.23333,-104.98333
Algoma,4100,1887,44.65,-87.46667
Bielokrynitschie,1900,1887,50.13333,27.16667
Phu Hong,500,1887,11.25,108.58333
Lalitpur,372,1887,24.45,78.56667
De Cewsville,340,1887,43,-80
Doyleville,112,1887,38.41667,-106.58333
San Pedro Springs,72,1887,29.5,-98.5
St. Genevieve County,244500,1888,37.96667,-90.31667
Bischtübe,48250,1888,51.95,62.2
Bella Roca,33000,1888,24.9,-105.4
La Primitiva,27400,1888,-19.91667,-69.81667
Eli Elwah,15200,1888,-34.5,144.71667
Welland,8200,1888,43.01667,-79.21667
Pirapora,6175,1888,-17.3,-45
Cowra,5560,1888,-33.85,148.68333
Thurlow,5500,1888,44.75,-77.58333
Haniet-el-Beguel,2000,1888,32.48333,4.4
Lonaconing,1400,1888,39.41667,-79.15
Minas Gerais,1224,1888,-18.5,-44
Carcote,392,1888,-24,-69
Thomson,218,1888,33.46667,-82.48333
Franklinville,108,1888,38.5,-100
Kenton County,194000,1889,38.81667,-84.6
Travis County (a),175400,1889,30.3,-97.7
Gilgoin,147000,1889,-30.38333,147.2
Apoala,85000,1889,17.7,-97
Jelica,34000,1889,43.83333,20.44167
Ergheo,20000,1889,1.16667,44.16667
Lundsgård,11000,1889,56.21667,13.03333
Mighei,8000,1889,48.06667,30.96667
Travis County (b),5900,1889,30.55556,-97.95278
Hopper,1800,1889,36.55,-79.78333
Dexter,1724,1889,33.81667,-97
Moctezuma,1700,1889,29.8,-109.66667
Iron River,1420,1889,46.07944,-88.55972
Ferguson,220,1889,36.1,-81.41667
Ameca-Ameca,1.2,1889,20.58333,-104.06667
Jianshi,600000,1890,30.80833,109.5
Augustinovka,400000,1890,48.06667,35.08333
Morland,295000,1890,39.33333,-100.06667
Sacramento Mountains,237200,1890,32.91667,-104.66667
Forest City,152000,1890,43.25,-93.66667
Farmington,89400,1890,39.75,-97.03333
Shirahagi,22700,1890,36.7,137.36667
Franceville,18800,1890,38.81667,-104.61667
Villedieu,14000,1890,47.91667,4.35
Bridgewater,13600,1890,35.71667,-81.86667
Misshof,5800,1890,56.66667,23
Collescipoli,5000,1890,42.53333,12.61667
St. Germain-du-Pinel,4000,1890,48.01667,-1.15
Nagy-Vázsony,2000,1890,46.98333,17.7
Western Arkansas,1750,1890,35,-94
Blue Tier,1400,1890,-41.18333,148.03333
Hassi-Jekna,1250,1890,28.95,0.81667
Summit,1000,1890,34.2,-86.48333
Kakangari,350,1890,12.38333,78.51667
Nawapali,105,1890,21.25,83.66667
Canyon Diablo,30000000,1891,35.05,-111.03333
Long Island,564000,1891,39.93333,-99.6
Indarch,27000,1891,39.75,46.66667
Forsyth County,22700,1891,36.1,-80.2
Toubil River,22000,1891,55.88333,89.1
Kingston,12900,1891,32.9,-107.73333
Bald Eagle,3200,1891,41.28333,-77.05
Ternera,1980,1891,-27.33333,-69.8
Guêa,1915,1891,43.76667,20.23333
Jonesboro,30,1891,36.3,-82.46667
Roebourne,86860,1892,-22.33333,118
Ballinoo,42200,1892,-27.7,115.76667
Guareña,39000,1892,38.73333,-6.01667
Dayton,26300,1892,39.75,-84.16667
Bath,21000,1892,45.41667,-98.31667
Bansur,15000,1892,27.7,76.33333
Moonbi,13200,1892,-30.91667,151.28333
Saotome,10880,1892,36.5,137
Cobija,6530,1892,-22.56667,-70.25
